ORDER_ID,DATE,DAY_NAME,Order_status,SALES
6384101,"October 1, 2023",Sun,Delivered,115
6388506,"October 1, 2023",Sun,Delivered,175
6387715,"October 1, 2023",Sun,Delivered,168.75
6390911,"October 1, 2023",Sun,Delivered,744.25
6390372,"October 1, 2023",Sun,Delivered,341.5
6386737,"October 1, 2023",Sun,Delivered,"1,413"
6387546,"October 1, 2023",Sun,Delivered,401.75
6388500,"October 1, 2023",Sun,Delivered,350
6385648,"October 1, 2023",Sun,Delivered,381
6385958,"October 1, 2023",Sun,Delivered,401.75
6390442,"October 1, 2023",Sun,Delivered,111.75
6385075,"October 1, 2023",Sun,Delivered,395.75
6387066,"October 1, 2023",Sun,Delivered,272.5
6384453,"October 1, 2023",Sun,Delivered,226.5
6388602,"October 1, 2023",Sun,Delivered,422
6389221,"October 1, 2023",Sun,Delivered,788
6389372,"October 1, 2023",Sun,Delivered,149
6389770,"October 1, 2023",Sun,Delivered,211.25
6387825,"October 1, 2023",Sun,Delivered,360
6388989,"October 1, 2023",Sun,Delivered,226.5
6386740,"October 1, 2023",Sun,Delivered,135
6385974,"October 1, 2023",Sun,Delivered,113.25
6383327,"October 1, 2023",Sun,Canceled,127
6387540,"October 1, 2023",Sun,Delivered,309.5
6385743,"October 1, 2023",Sun,Canceled,405
6390828,"October 1, 2023",Sun,Delivered,382.75
6390482,"October 1, 2023",Sun,Delivered,320.5
6383666,"October 1, 2023",Sun,Delivered,293.5
6386598,"October 1, 2023",Sun,Delivered,197.5
6383500,"October 1, 2023",Sun,Delivered,392.5
6386155,"October 1, 2023",Sun,Delivered,114.25
6383705,"October 1, 2023",Sun,Canceled,802.5
6390676,"October 1, 2023",Sun,Delivered,339.75
6388843,"October 1, 2023",Sun,Delivered,440
6385385,"October 1, 2023",Sun,Delivered,175
6386503,"October 1, 2023",Sun,Delivered,287.5
6390792,"October 1, 2023",Sun,Delivered,171
6388596,"October 1, 2023",Sun,Delivered,101.25
6383397,"October 1, 2023",Sun,Delivered,510
6391044,"October 1, 2023",Sun,Delivered,457
6385499,"October 1, 2023",Sun,Delivered,211
6389202,"October 1, 2023",Sun,Delivered,297.5
6388105,"October 1, 2023",Sun,Delivered,"1,359.5"
6386758,"October 1, 2023",Sun,Delivered,57.5
6387939,"October 1, 2023",Sun,Delivered,197.5
6389246,"October 1, 2023",Sun,Delivered,118.25
6391088,"October 1, 2023",Sun,Delivered,224.5
6389115,"October 1, 2023",Sun,Delivered,115
6387409,"October 1, 2023",Sun,Delivered,158
6390369,"October 1, 2023",Sun,Delivered,224.5
6385082,"October 1, 2023",Sun,Delivered,174.25
6390750,"October 1, 2023",Sun,Canceled,190.5
6384524,"October 1, 2023",Sun,Canceled,477
6386481,"October 1, 2023",Sun,Delivered,"1,077.75"
6391061,"October 1, 2023",Sun,Delivered,"1,913.75"
6388088,"October 1, 2023",Sun,Delivered,230
6385657,"October 1, 2023",Sun,Delivered,114.25
6386023,"October 1, 2023",Sun,Delivered,401.75
6385910,"October 1, 2023",Sun,Delivered,226.5
6387793,"October 1, 2023",Sun,Delivered,350
6384808,"October 1, 2023",Sun,Delivered,349.5
6390922,"October 1, 2023",Sun,Delivered,721.25
6389327,"October 1, 2023",Sun,Delivered,571.25
6387651,"October 1, 2023",Sun,Delivered,350
6385632,"October 1, 2023",Sun,Delivered,338.5
6390747,"October 1, 2023",Sun,Delivered,353.25
6390135,"October 1, 2023",Sun,Delivered,449
6385050,"October 1, 2023",Sun,Delivered,942.5
6387410,"October 1, 2023",Sun,Delivered,401.75
6389673,"October 1, 2023",Sun,Delivered,174.25
6390164,"October 1, 2023",Sun,Delivered,843
6386200,"October 1, 2023",Sun,Delivered,318
6386611,"October 1, 2023",Sun,Canceled,100
6391017,"October 1, 2023",Sun,Delivered,"1,089"
6387536,"October 1, 2023",Sun,Delivered,197
6389169,"October 1, 2023",Sun,Delivered,211
6386972,"October 1, 2023",Sun,Delivered,353.25
6385276,"October 1, 2023",Sun,Delivered,666.25
6383736,"October 1, 2023",Sun,Delivered,211.5
6385186,"October 1, 2023",Sun,Delivered,99
6384659,"October 1, 2023",Sun,Delivered,799.75
6384151,"October 1, 2023",Sun,Canceled,117.75
6383922,"October 1, 2023",Sun,Delivered,381
6385610,"October 1, 2023",Sun,Delivered,723.75
6388842,"October 1, 2023",Sun,Delivered,57.5
6387437,"October 1, 2023",Sun,Delivered,67.5
6389993,"October 1, 2023",Sun,Delivered,226.5
6383214,"October 1, 2023",Sun,Delivered,776.75
6385731,"October 1, 2023",Sun,Delivered,639.75
6391051,"October 1, 2023",Sun,Delivered,74.5
6389959,"October 1, 2023",Sun,Delivered,382.75
6385339,"October 1, 2023",Sun,Delivered,422
6384849,"October 1, 2023",Sun,Delivered,338.75
6388999,"October 1, 2023",Sun,Delivered,453
6390577,"October 1, 2023",Sun,Delivered,114.25
6386117,"October 1, 2023",Sun,Delivered,350
6384494,"October 1, 2023",Sun,Delivered,340.5
6387672,"October 1, 2023",Sun,Delivered,211
6385976,"October 1, 2023",Sun,Delivered,338.5
6386380,"October 1, 2023",Sun,Delivered,340.5
6389915,"October 1, 2023",Sun,Delivered,"1,443.75"
6388117,"October 1, 2023",Sun,Delivered,225
6389137,"October 1, 2023",Sun,Delivered,211.5
6386122,"October 1, 2023",Sun,Delivered,318
6383829,"October 1, 2023",Sun,Delivered,228.5
6383913,"October 1, 2023",Sun,Delivered,159
6386049,"October 1, 2023",Sun,Delivered,125
6384375,"October 1, 2023",Sun,Delivered,223.5
6387673,"October 1, 2023",Sun,Delivered,96
6390795,"October 1, 2023",Sun,Delivered,360.25
6421205,"October 1, 2023",Sun,Delivered,565.5
6385180,"October 1, 2023",Sun,Delivered,449.5
6388961,"October 1, 2023",Sun,Delivered,114.25
6389448,"October 1, 2023",Sun,Delivered,33.75
6389877,"October 1, 2023",Sun,Delivered,224.5
6386382,"October 1, 2023",Sun,Delivered,781.5
6390605,"October 1, 2023",Sun,Delivered,57.5
6387684,"October 1, 2023",Sun,Delivered,624
6390666,"October 1, 2023",Sun,Delivered,226.5
6388782,"October 1, 2023",Sun,Delivered,318
6385453,"October 1, 2023",Sun,Delivered,795
6388279,"October 1, 2023",Sun,Delivered,74.5
6390437,"October 1, 2023",Sun,Delivered,238
6385393,"October 1, 2023",Sun,Delivered,437
6383248,"October 1, 2023",Sun,Delivered,322
6390929,"October 1, 2023",Sun,Delivered,"1,901.25"
6383743,"October 1, 2023",Sun,Delivered,229
6388880,"October 1, 2023",Sun,Delivered,223.5
6389481,"October 1, 2023",Sun,Delivered,521.5
6388203,"October 1, 2023",Sun,Delivered,422
6389022,"October 1, 2023",Sun,Delivered,190.5
6389511,"October 1, 2023",Sun,Delivered,211
6387678,"October 1, 2023",Sun,Delivered,"1,147.75"
6385637,"October 1, 2023",Sun,Delivered,298
6388797,"October 1, 2023",Sun,Delivered,114.25
6390835,"October 1, 2023",Sun,Delivered,384.5
6388146,"October 1, 2023",Sun,Delivered,537.5
6387236,"October 1, 2023",Sun,Delivered,350
6384635,"October 1, 2023",Sun,Delivered,587
6387028,"October 1, 2023",Sun,Delivered,566.25
6386202,"October 1, 2023",Sun,Delivered,285.5
6387217,"October 1, 2023",Sun,Canceled,777.25
6387506,"October 1, 2023",Sun,Delivered,350
6388371,"October 1, 2023",Sun,Canceled,340.5
6386723,"October 1, 2023",Sun,Canceled,401.75
6383991,"October 1, 2023",Sun,Delivered,"1,132.5"
6389659,"October 1, 2023",Sun,Delivered,211.25
6390634,"October 1, 2023",Sun,Canceled,"2,469.5"
6383561,"October 1, 2023",Sun,Delivered,776.75
6390116,"October 1, 2023",Sun,Delivered,118.25
6383776,"October 1, 2023",Sun,Delivered,371.75
6389317,"October 1, 2023",Sun,Delivered,236
6390463,"October 1, 2023",Sun,Delivered,216.5
6387346,"October 1, 2023",Sun,Delivered,49.25
6388606,"October 1, 2023",Sun,Delivered,525
6383300,"October 1, 2023",Sun,Delivered,571.25
6390516,"October 1, 2023",Sun,Delivered,668.88
6390783,"October 1, 2023",Sun,Delivered,32.5
6384936,"October 1, 2023",Sun,Delivered,211.75
6384763,"October 1, 2023",Sun,Delivered,337.5
6384534,"October 1, 2023",Sun,Delivered,286
