 PRODUCT_SALES_ORDER_ID , SALES_ORDER_ID ,PRODUCT_ID,SALES
" 68,311,486 "," 6,490,519 ",9468,157
" 68,374,770 "," 6,499,310 ",415,221.5
" 68,433,646 "," 6,507,294 ",2778,231
" 68,418,898 "," 6,505,172 ",974,100
" 68,391,392 "," 6,501,217 ",1070,40
" 68,358,660 "," 6,497,218 ",2438,381.75
" 68,397,813 "," 6,502,166 ",1070,240
" 68,371,903 "," 6,493,839 ",974,1164.25
" 68,380,605 "," 6,499,980 ",9468,78.25
" 68,387,823 "," 6,500,785 ",2438,376
" 68,350,132 "," 6,495,460 ",417,162.855
" 68,444,831 "," 6,509,022 ",361,329
" 68,329,615 "," 6,492,981 ",1080,238.5
" 68,423,195 "," 6,505,799 ",9468,78.25
" 68,396,728 "," 6,502,007 ",2778,115.5
" 68,200,036 "," 6,474,555 ",7558,351
" 68,278,177 "," 6,483,410 ",9289,330
" 68,261,409 "," 6,483,428 ",9081,213
" 68,220,590 "," 6,477,500 ",1070,200
" 68,275,732 "," 6,485,481 ",168,110.5
" 68,264,089 "," 6,483,831 ",583,209
" 68,208,615 "," 6,475,680 ",417,168
" 68,225,701 "," 6,478,232 ",361,504
" 68,188,399 "," 6,472,790 ",583,209
" 68,210,269 "," 6,475,927 ",583,209
" 68,244,446 "," 6,480,905 ",2778,117.25
" 68,286,589 "," 6,487,008 ",7558,357.5
" 68,256,353 "," 6,482,626 ",9081,426
" 68,279,276 "," 6,485,960 ",583,418
" 68,294,929 "," 6,488,118 ",2438,383.75
" 68,273,768 "," 6,485,217 ",1070,200
" 68,229,554 "," 6,477,913 ",583,418
" 68,231,741 "," 6,479,062 ",2438,374.75
" 68,242,048 "," 6,480,566 ",1080,238.5
" 68,236,253 "," 6,477,073 ",415,226.25
" 68,293,656 "," 6,487,928 ",1070,200
" 68,311,418 "," 6,490,513 ",9468,155
" 68,372,476 "," 6,492,553 ",1087,120.75
" 68,379,560 "," 6,499,855 ",2438,96.75
" 68,369,607 "," 6,498,736 ",9081,1267.25
" 68,374,976 "," 6,499,277 ",3900,350
" 68,337,173 "," 6,494,027 ",6952,128.75
" 68,300,369 "," 6,488,905 ",1080,357.75
" 68,292,354 "," 6,487,758 ",7558,1400
" 68,375,675 "," 6,490,546 ",417,164.5
" 68,382,681 "," 6,500,227 ",583,209
" 68,353,488 "," 6,496,415 ",2438,1145.25
" 68,384,036 "," 6,500,379 ",3575,433
" 68,380,408 "," 6,499,958 ",2778,115.5
" 68,343,190 "," 6,494,846 ",9081,53.25
" 68,406,589 "," 6,503,331 ",1080,119.25
" 68,389,876 "," 6,501,011 ",9468,156.5
" 68,391,015 "," 6,501,160 ",2438,1117.5
" 68,392,839 "," 6,492,603 ",9289,328.25
" 68,405,378 "," 6,503,167 ",9468,158.5
" 68,395,379 "," 6,501,815 ",415,218.842
" 68,395,909 "," 6,501,897 ",2438,381.75
" 68,396,338 "," 6,501,959 ",168,58.5
" 68,406,037 "," 6,503,257 ",974,100
" 68,398,551 "," 6,502,279 ",2778,231
" 68,329,362 "," 6,492,951 ",417,162.855
" 68,365,749 "," 6,498,235 ",361,164.5
" 68,385,252 "," 6,500,510 ",361,164.25
" 68,356,612 "," 6,496,904 ",3900,377.5
" 68,410,368 "," 6,503,849 ",3575,652.25
" 68,347,858 "," 6,495,583 ",9081,213
" 68,433,985 "," 6,506,116 ",9046,159
" 68,411,341 "," 6,504,000 ",361,164.5
" 68,365,646 "," 6,498,219 ",9289,328.25
" 68,368,347 "," 6,498,580 ",2438,2672.25
" 68,413,179 "," 6,502,888 ",9081,1267.25
" 68,343,070 "," 6,494,836 ",2778,231
" 68,443,226 "," 6,508,763 ",415,221.5
" 68,351,842 "," 6,496,171 ",417,162.855
" 68,414,784 "," 6,504,529 ",415,443
" 68,411,552 "," 6,504,030 ",2778,231
" 68,424,154 "," 6,505,936 ",583,209
" 68,335,920 "," 6,493,850 ",2778,115.5
" 68,437,778 "," 6,507,907 ",2438,1908.75
" 68,429,761 "," 6,506,754 ",583,1045
" 68,419,779 "," 6,505,318 ",9468,156.5
" 68,341,232 "," 6,494,566 ",1070,600
" 68,421,228 "," 6,505,525 ",583,418
" 68,428,049 "," 6,502,178 ",9081,106.5
" 68,346,404 "," 6,495,351 ",415,221.5
" 68,406,065 "," 6,503,262 ",583,418
" 68,409,362 "," 6,503,703 ",2778,346.5
" 68,356,176 "," 6,496,843 ",2438,372.5
" 68,408,562 "," 6,503,583 ",142,162.855
" 68,406,391 "," 6,503,310 ",2778,115.5
" 68,374,596 "," 6,499,295 ",9468,156.5
" 68,381,683 "," 6,500,100 ",142,164.5
" 68,395,503 "," 6,501,834 ",9081,2546
" 68,406,381 "," 6,503,308 ",415,218.842
" 68,406,891 "," 6,503,362 ",415,436.202
" 68,436,004 "," 6,506,293 ",9046,159
" 68,375,569 "," 6,499,396 ",9081,532.5
" 68,443,523 "," 6,508,809 ",583,209
" 68,389,086 "," 6,500,921 ",583,627
" 68,357,760 "," 6,497,079 ",2438,96.75
" 68,386,948 "," 6,500,691 ",8120,103.5
" 68,375,669 "," 6,490,546 ",583,209
" 68,410,470 "," 6,503,861 ",9081,426
" 68,438,566 "," 6,501,455 ",9081,1267.25
" 68,423,923 "," 6,505,901 ",168,117
" 68,439,399 "," 6,508,139 ",361,164.5
" 68,354,466 "," 6,496,565 ",72,780.5
" 68,406,104 "," 6,503,269 ",2778,115.5
" 68,438,442 "," 6,507,994 ",361,164.5
" 68,357,704 "," 6,497,072 ",361,164.25
" 68,402,380 "," 6,502,807 ",1080,119.25
" 68,421,661 "," 6,505,585 ",417,164.5
" 68,416,939 "," 6,504,884 ",142,164.5
" 68,397,671 "," 6,502,140 ",9081,426
" 68,436,552 "," 6,507,718 ",1080,698.75
" 68,330,597 "," 6,493,113 ",2778,346.5
" 68,035,735 "," 6,451,987 ",3900,723
" 68,379,742 "," 6,499,878 ",9468,156.5
" 68,404,028 "," 6,503,027 ",9468,156.5
" 68,339,403 "," 6,494,335 ",9468,78.5
" 68,399,322 "," 6,502,402 ",9289,328.25
" 68,357,608 "," 6,497,060 ",1070,120
" 68,413,533 "," 6,504,334 ",415,218.842
" 68,419,200 "," 6,505,223 ",2778,346.5
" 68,354,084 "," 6,496,509 ",2778,115.5
" 68,393,463 "," 6,501,550 ",974,100
" 68,399,589 "," 6,502,439 ",415,218.842
" 68,388,878 "," 6,500,894 ",9289,328.25
" 67,859,014 "," 6,426,358 ",6952,125.75
" 67,957,642 "," 6,440,879 ",2438,1125
" 67,947,220 "," 6,439,313 ",9046,636
" 68,066,966 "," 6,456,420 ",2438,1539
" 68,123,083 "," 6,463,508 ",168,110.5
" 68,118,379 "," 6,462,802 ",8120,101.5
" 68,000,608 "," 6,447,093 ",9081,1169
" 68,057,501 "," 6,455,024 ",1087,122.5
" 68,048,707 "," 6,453,841 ",9468,77.5
" 68,118,603 "," 6,462,835 ",1070,162
" 68,066,493 "," 6,453,596 ",583,212.5
" 68,067,532 "," 6,456,506 ",2778,117
" 68,126,423 "," 6,464,012 ",2438,384.75
" 68,115,087 "," 6,462,368 ",9468,232.5
" 68,098,700 "," 6,460,252 ",1070,121.5
" 68,093,891 "," 6,459,702 ",1087,247.5
" 68,039,127 "," 6,452,430 ",2778,117.25
" 68,058,682 "," 6,455,207 ",9081,212
" 68,076,846 "," 6,457,835 ",2778,468
" 68,091,562 "," 6,459,442 ",8120,416
" 68,126,362 "," 6,464,003 ",168,165.75
" 68,121,473 "," 6,463,247 ",2438,384.75
" 68,087,527 "," 6,452,527 ",8120,304.5
" 68,083,524 "," 6,458,584 ",2778,468
" 68,070,614 "," 6,456,975 ",9468,78.5
" 68,026,240 "," 6,450,728 ",2438,1142.25
" 68,069,432 "," 6,456,793 ",142,168
" 68,076,820 "," 6,457,832 ",1765,708
" 68,055,817 "," 6,454,758 ",361,166.32
" 68,061,719 "," 6,455,671 ",152,351
" 68,132,458 "," 6,464,877 ",142,332.64
" 68,072,751 "," 6,457,286 ",583,425
" 68,053,242 "," 6,454,373 ",583,432.5
" 68,137,218 "," 6,465,569 ",168,55.25
" 68,095,553 "," 6,436,487 ",168,110.5
" 68,095,258 "," 6,459,843 ",1070,243
" 68,047,780 "," 6,453,714 ",72,388.5
" 68,137,460 "," 6,465,602 ",2438,384.75
" 68,133,883 "," 6,454,454 ",9081,545
" 68,047,800 "," 6,453,718 ",2778,117.75
" 68,139,059 "," 6,465,799 ",361,168
" 68,077,270 "," 6,457,886 ",2778,234
" 68,096,650 "," 6,460,016 ",583,850
" 68,056,716 "," 6,454,863 ",974,300
" 68,058,267 "," 6,455,139 ",2438,192
" 68,080,858 "," 6,458,298 ",2438,769.5
" 68,010,695 "," 6,448,502 ",1070,162
" 68,130,984 "," 6,464,674 ",361,168
" 68,078,617 "," 6,458,029 ",9468,232.5
" 68,075,204 "," 6,457,613 ",2778,117.25
" 68,055,454 "," 6,454,701 ",2778,233.5
" 68,137,500 "," 6,465,610 ",2438,769.5
" 68,048,053 "," 6,453,755 ",9468,77.5
" 68,085,776 "," 6,458,817 ",168,55.25
" 68,099,254 "," 6,460,315 ",2778,117.5
" 68,096,236 "," 6,459,951 ",583,212.5
" 68,144,386 "," 6,465,485 ",9046,159
" 68,080,517 "," 6,457,751 ",168,55.25
" 67,936,766 "," 6,437,795 ",2778,233.5
" 67,985,518 "," 6,444,961 ",974,200
" 67,988,424 "," 6,445,376 ",417,336
" 67,865,442 "," 6,427,243 ",152,334.5
" 67,933,713 "," 6,437,333 ",1080,357
" 67,985,922 "," 6,445,016 ",974,567
" 67,986,407 "," 6,445,078 ",2778,1172.5
" 67,919,972 "," 6,435,176 ",583,215
" 67,985,797 "," 6,444,996 ",9081,5868.75
" 67,988,847 "," 6,445,426 ",2778,117.25
" 67,967,703 "," 6,442,331 ",142,168
" 67,997,528 "," 6,446,678 ",1087,123
" 67,929,907 "," 6,436,755 ",2438,397
" 67,942,144 "," 6,438,561 ",361,168
" 67,938,777 "," 6,438,092 ",1080,119
" 67,989,999 "," 6,445,563 ",1222,292.25
" 67,924,423 "," 6,435,934 ",2438,33.5
" 67,589,711 "," 6,387,715 ",2438,168.75
" 67,579,021 "," 6,386,163 ",1070,79
" 67,591,469 "," 6,387,948 ",9468,149
" 67,592,060 "," 6,388,071 ",9468,149
" 67,595,775 "," 6,388,621 ",1080,692
" 67,598,560 "," 6,389,018 ",2778,118.25
" 67,599,934 "," 6,389,217 ",152,653
" 67,600,972 "," 6,389,364 ",417,522.75
" 67,601,299 "," 6,389,408 ",2778,113.25
" 67,602,361 "," 6,383,776 ",3900,371.75
" 67,603,068 "," 6,389,659 ",583,211.25
" 67,602,492 "," 6,389,566 ",9081,1179.75
" 67,604,183 "," 6,389,815 ",583,211.25
" 67,605,646 "," 6,390,066 ",2438,401.75
" 67,606,023 "," 6,390,128 ",168,1140.25
" 67,606,113 "," 6,390,095 ",9468,74.5
" 67,609,497 "," 6,390,666 ",2778,226.5
